region_id,label,network,role,dk_ctrl_A,dk_glio_A,dk_diff_A,degree,strength,eigcent,slope_ctrl_mild,slope_ctrl_full,slope_glio_mild,slope_glio_full,gap_d0,gap_d05,gap_d1
34,Cingulate Post L,Default Mode,driver,-0.7438983050847455,-0.17338983050847467,0.570508474576271,10,0.2846263228833828,0.02548035320186797,-0.2684745762711847,-0.9665084745762796,-0.3020338983050981,-0.24162711864408118,-1.3591525423728896,-1.342372881355935,-2.0638983050847415
35,Cingulate Post R,Default Mode,not tested,-0.33000000000000007,-0.14822033898305095,0.18177966101694915,9,0.2663549235312952,0.059951231270017454,,,,,,,
36,Hippocampus L,Limbic,driver,-0.5341525423728812,-0.2600847457627119,0.27406779661016933,19,0.8189797179232724,0.18878463606055748,-2.8525423728813832,-1.6376949152542373,-1.308813559322058,-1.3222372881356026,-1.5605084745762738,-2.33237288135593,-2.0303389830508465
37,Hippocampus R,Limbic,not tested,-0.047542372881355856,0.02516949152542362,0.07271186440677947,13,0.2649259697844706,0.03554398946210589,,,,,,,
38,ParaHippocampal L,Limbic,not tested,0.01677966101694911,-0.04194915254237292,-0.05872881355932202,32,1.5954315026136217,0.32533058787859964,,,,,,,
39,ParaHippocampal R,Limbic,not tested,0.03915254237288125,-0.09788135593220354,-0.13703389830508478,12,0.9864613092519409,0.16745853571123379,,,,,,,
40,Amygdala L,Limbic,non-driver,0.008389830508474508,-0.18177966101694928,-0.1901694915254238,19,0.9300663627167696,0.23538876273872003,-0.5705084745762733,-0.7987118644068014,-0.16779661016950326,-0.0067118644068112215,-1.3759322033898371,-1.5772881355932142,-2.013559322033899
41,Amygdala R,Limbic,not tested,-0.1733898305084746,-0.1174576271186441,0.055932203389830494,26,1.5899258946168935,0.36416743424803755,,,,,,,
42,Calcarine L,Visual,not tested,-0.1090677966101696,-0.15381355932203403,-0.044745762711864444,8,0.5401510541625723,0.10039427009496525,,,,,,,
43,Calcarine R,Visual,not tested,-0.13423728813559324,-0.10627118644067801,0.027966101694915223,14,0.7087040833220737,0.09204385135952933,,,,,,,
44,Cuneus L,Visual,not tested,-0.08389830508474577,-0.02237288135593225,0.061525423728813526,9,0.1499933927130107,0.02818430417455406,,,,,,,
45,Cuneus R,Visual,driver,-0.45305084745762714,-0.03076271186440678,0.4222881355932203,5,0.03074832724469462,0.005976613017634645,1.2416949152542396,-0.6242033898305129,1.2081355932203686,0.6711864406779631,-1.0067796610169566,-0.990000000000002,-2.0303389830508465
46,Lingual L,Visual,not tested,-0.03915254237288133,-0.013983050847457648,0.02516949152542368,3,0.01155168191311895,7.351724835104569e-07,,,,,,,
47,Lingual R,Visual,non-driver,-0.011186440677966149,-0.14262711864406782,-0.13144067796610165,3,0.014414005967191595,1.2320203237892187e-06,-1.4766101694915437,-0.3892881355932374,-0.30203389830509914,0.020135593220344326,-1.3088135593220258,-1.8961016949152594,-1.4430508474576342
48,Occipital Sup L,Visual,not tested,-0.2544915254237288,-0.0950847457627119,0.1594067796610169,9,0.0706854719644684,0.0001658512091577782,,,,,,,
49,Occipital Sup R,Visual,not tested,-0.26847457627118637,0.04474576271186433,0.31322033898305074,6,0.04827341457526846,5.466639305104078e-05,,,,,,,
50,Occipital Mid L,Visual,not tested,-0.019576271186440716,-0.2684745762711866,-0.24889830508474578,3,0.03742461798093455,6.56272885780415e-05,,,,,,,
51,Occipital Mid R,Visual,not tested,0.10906779661016944,-0.011186440677966066,-0.1202542372881355,5,0.1090597138680643,0.00016268554016206843,,,,,,,
52,Occipital Inf L,Visual,not tested,0.1426271186440677,0.6236440677966099,0.4810169491525424,17,1.458598545578907,0.0032118825652549337,,,,,,,
